Tag:,Freq:
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_NetCashProvidedByUsedInInvestingActivitiesAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_NetCashProvidedByUsedInOperatingActivities"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_NetCashProvidedByUsedInOperatingActivitiesAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_NetIncomeLoss"" style=""display: none;"">",6
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherNoncashIncomeExpense"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherOperatingActivitiesCashFlowStatement"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired"" style=""display: none;"">",3
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_PaymentsToAcquireMarketableSecurities"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_PaymentsToAcquireProductiveAssets"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_ProceedsFromIssuanceOfLongTermDebt"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_ProceedsFromSaleAndMaturityOfMarketableSecurities"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_RepaymentsOfDebt"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_RepaymentsOfLongTermCapitalLeaseObligations"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_ShareBasedCompensation"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_StatementOfCashFlowsAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_SupplementalCashFlowInformationAbstract"" style=""display: none;"">",1
"<table border=""0"" cellspacing=""2"" class=""report"" id=""idp6791199664"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_amzn_FulfillmentExpense"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_amzn_TechnologyAndContentExpense"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_CostOfGoodsAndServicesSold"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_CostsAndExpenses"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_CostsAndExpensesAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_EarningsPerShareBasic"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_EarningsPerShareDiluted"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_GeneralAndAdministrativeExpense"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments"" style=""display: none;"">",3
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncomeLossFromEquityMethodInvestments"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_IncomeTaxExpenseBenefit"" style=""display: none;"">",6
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_InterestExpense"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_InvestmentIncomeInterest"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_MarketingExpense"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_NonoperatingIncomeExpense"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OperatingIncomeLoss"" style=""display: none;"">",3
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherCostAndExpenseOperating"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherNonoperatingIncomeExpense"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax"" style=""display: none;"">",5
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding"" style=""display: none;"">",3
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_WeightedAverageNumberOfSharesOutstandingBasic"" style=""display: none;"">",3
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_srt_ProductOrServiceAxis=us-gaap_ProductMember"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_srt_ProductOrServiceAxis=us-gaap_ServiceMember"" style=""display: none;"">",1
"<table border=""0"" cellspacing=""2"" class=""report"" id=""idp6787857664"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_ComprehensiveIncomeNetOfTax"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecreaseAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeLossNetOfTax"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_StatementOfIncomeAndComprehensiveIncomeAbstract"" style=""display: none;"">",2
"<table border=""0"" cellspacing=""2"" class=""report"" id=""idp6794454752"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesTax"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax"" style=""display: none;"">",1
"<table border=""0"" cellspacing=""2"" class=""report"" id=""idp6787868672"">",1
"<a class=""a"" href=""javascript:void(0);"" onclick=""top.Show.showAR( this, 'defref_us-gaap_MarketableSecuritiesCurrent', window );"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_amzn_AccruedLiabilitiesAndOtherCurrent"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_AccountsPayableCurrent"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_AccountsReceivableNetCurrent"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_AdditionalPaidInCapital"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_Assets"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_AssetsCurrent"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_AssetsCurrentAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_CashAndCashEquivalentsAtCarryingValue"" style=""display: none;"">",2
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_CommitmentsAndContingencies"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_CommonStockValue"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_ContractWithCustomerLiabilityCurrent"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_Goodwill"" style=""display: none;"">",3
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_InventoryNet"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_LiabilitiesAndStockholdersEquity"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_LiabilitiesCurrent"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_LiabilitiesCurrentAbstract"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_LongTermDebtNoncurrent"" style=""display: none;"">",1
"<table border=""0"" cellpadding=""0"" cellspacing=""0"" class=""authRefData"" id=""defref_us-gaap_MarketableSecuritiesCurrent"" style=""display: none;"">",1
