searchterm,user,date,retweets,Polarity Score
b'Papa Johns',b'',2018-03-01,b'0',-0.016666666666666663
b'Papa Johns',b'',2018-03-01,b'0',-0.2
b'Papa Johns',b'',2018-03-01,b'0',1.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.4875420875420875
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.2
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.2222222222222222
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'1',0.05
b'Papa Johns',b'',2018-03-01,b'0',0.625
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',-0.45
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.6166666666666667
b'Papa Johns',b'',2018-03-01,b'0',-1.4
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-1.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',1.0
b'Papa Johns',b'',2018-03-01,b'0',-0.4
b'Papa Johns',b'',2018-03-01,b'0',0.8125
b'Papa Johns',b'',2018-03-01,b'0',0.35
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.03125
b'Papa Johns',b'',2018-03-01,b'0',-0.13333333333333333
b'Papa Johns',b'',2018-03-01,b'0',0.6
b'Papa Johns',b'',2018-03-01,b'0',0.21666666666666667
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',1.0
b'Papa Johns',b'',2018-03-01,b'0',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.1375
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'4',0.75
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',-0.4
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.525
b'Papa Johns',b'',2018-03-01,b'3',0.5
b'Papa Johns',b'',2018-03-01,b'0',0.35
b'Papa Johns',b'',2018-03-01,b'0',0.09999999999999998
b'Papa Johns',b'',2018-03-01,b'0',-0.021428571428571436
b'Papa Johns',b'',2018-03-01,b'0',0.0
b'Papa Johns',b'',2018-03-01,b'0',0.4875
b'Papa Johns',b'',2018-03-01,b'1',0.2
b'Papa Johns',b'',2018-03-01,b'3',0.11666666666666665
