corpid,brands,appdate,subnum
b'1',b'WHOLE FOODS MARKET 365',2018-03-27,b'5'
b'1',b'WHOLE TRADE GUARANTEE',2018-03-27,b'5'
b'1',b'WHOLE FOODS MARKET',2018-03-22,b'5'
b'1',b'WHOLE PAWS',2018-03-22,b'5'
b'1',b'WHOLE CATCH',2018-03-22,b'5'
b'1',b'365 EVERYDAY VALUE',2018-03-22,b'5'
b'1',b'365',2018-03-22,b'5'
b'1',b'AMAZON GAMEON',2018-03-22,b'5'
b'1',b'ECHO CONNECT',2018-03-22,b'5'
b'1',b'echo connect',2018-03-21,b'5'
b'1',b'amazon gameon',2018-03-20,b'5'
b'1',b'prime & Device',2018-03-19,b'5'
b'1',b'ECHO SPOT',2018-03-19,b'5'
b'1',b'ECHO PLUS',2018-03-18,b'5'
b'1',b'whole paws',2018-03-16,b'5'
b'1',b'whole foods market',2018-03-16,b'5'
b'1',b'365 everyday value',2018-03-16,b'5'
b'1',b'whole catch',2018-03-16,b'5'
b'1',b'FRESH FIELDS',2018-03-14,b'5'
b'1',b'FIERCELY ADORABLE',2018-03-12,b'5'
b'1',b'MAMA BEAR FIERCELY ADORABLE',2018-03-12,b'5'
b'1',b'SOMMELIER BEST IN CLASS & Design',2018-03-12,b'5'
b'1',b'mama bear fiercely adorable',2018-03-08,b'5'
b'1',b'NINJA SQUIRREL',2018-03-07,b'5'
b'1',b'GAMESPARKS',2018-03-06,b'5'
b'1',b'Il marchio consiste nella parola di fantasia GAMESPARKS preceduto da una figura di una G intersecata da una rappresentazione stilizzata',2018-03-05,b'5'
b'1',b'FUSE',2018-03-02,b'5'
b'1',b'g gamesparks game sparks',2018-03-02,b'5'
b'1',b'gamesparks game sparks',2018-03-02,b'5'
b'1',b'GS GAMESPARKS',2018-03-02,b'5'
b'1',b'PRIME VIDEO',2018-02-28,b'5'
b'1',b'amazon fuse',2018-02-23,b'5'
b'1',b'alexa gadgets',2018-02-21,b'5'
b'1',b'AMAZON MOBILE MASTERS',2018-02-13,b'5'
b'1',b'MOBILE MASTERS',2018-02-13,b'5'
b'1',b's',2018-02-01,b'5'
b'1',b'TEXTURES & HUES',2018-02-01,b'5'
b'1',b'amazon blink',2018-02-01,b'5'
b'1',b'S',2018-02-01,b'5'
b'1',b'SMILECODE',2018-01-30,b'5'
b'1',b'SPARK',2018-01-23,b'5'
b'1',b'AMAZON SPARK',2018-01-23,b'5'
b'1',b'spark',2018-01-23,b'5'
b'1',b'DOWNLOAD DAY',2018-01-18,b'5'
b'1',b'daily ritual',2018-01-16,b'5'
b'1',b'DAILY RITUAL',2018-01-15,b'5'
b'1',b'Echo stylised',2018-01-11,b'5'
b'1',b'ZWEIERKETTE',2018-01-05,b'5'
b'1',b'TREASURE TRUCK',2018-01-04,b'5'
b'1',b'AMAZON MACIE',2017-12-20,b'5'
b'1',b'AMAZONBASICS',2017-12-20,b'5'
b'1',b'allegro',2017-12-18,b'5'
b'1',b'echo',2017-12-18,b'5'
b'1',b'ALLEGRO',2017-12-18,b'5'
b'1',b'WF',2017-12-18,b'5'
b'1',b'WHOLE TRADE',2017-12-18,b'5'
b'1',b'WFM',2017-12-18,b'5'
b'1',b'WHOLE FOODS',2017-12-18,b'5'
b'1',b'W FM',2017-12-18,b'5'
b'1',b'RING SPOTLIGHT',2017-12-15,b'5'
b'1',b'whole trade guarantee',2017-12-13,b'5'
b'1',b'gamecircle game',2017-12-13,b'5'
b'1',b'amazon macie',2017-12-13,b'5'
b'1',b'wf',2017-12-13,b'5'
b'1',b'whole trade',2017-12-13,b'5'
b'1',b'whole foods',2017-12-13,b'5'
b'1',b'AMAZON SOLAR FARM',2017-12-08,b'5'
b'1',b'AMAZON WIND FARM',2017-12-08,b'5'
